"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.015393221E1,5.120298210E1,2.086241970E1,2.423821556E2,2.770000000E2,4.591999817E1,2.189999962E1,1.381833477E0,7.000000000E0,9.000000000E0,2.300000000E1
3.115393057E1,5.120337634E1,2.086267736E1,2.443845090E2,2.790000000E2,4.612999725E1,2.210000038E1,1.428002884E0,7.000000000E0,9.000000000E0,2.300000000E1
3.215392892E1,5.120376325E1,2.086291783E1,2.463867971E2,2.810000000E2,4.629999924E1,2.150000000E1,1.474208477E0,6.500000000E0,9.000000000E0,2.300000000E1
3.315392724E1,5.120415150E1,2.086315420E1,2.453890845E2,2.800000000E2,4.643999863E1,2.060000038E1,1.520880257E0,6.500000000E0,9.000000000E0,2.300000000E1
3.415392561E1,5.120454515E1,2.086338663E1,2.463913911E2,2.810000000E2,4.645999908E1,2.060000038E1,1.567342730E0,6.500000000E0,9.000000000E0,2.300000000E1
3.515392392E1,5.120493713E1,2.086361764E1,2.463936872E2,2.810000000E2,4.654999924E1,2.029999924E1,1.613803303E0,6.500000000E0,9.000000000E0,2.400000000E1
3.615392226E1,5.120532962E1,2.086384638E1,2.453959818E2,2.800000000E2,4.661000061E1,2.020000076E1,1.660172474E0,6.500000000E0,9.000000000E0,2.300000000E1
3.715392056E1,5.120571753E1,2.086409063E1,2.443982812E2,2.790000000E2,4.661999893E1,2.089999962E1,1.707860736E0,6.500000000E0,9.000000000E0,2.300000000E1
3.815391892E1,5.120612175E1,2.086431937E1,2.444006325E2,2.790000000E2,4.671999741E1,1.979999924E1,1.754656167E0,6.500000000E0,9.000000000E0,2.400000000E1
3.915391727E1,5.120652077E1,2.086453286E1,2.444029321E2,2.790000000E2,4.686999893E1,1.910000038E1,1.800295754E0,6.500000000E0,9.000000000E0,2.400000000E1
4.015391556E1,5.120691074E1,2.086473721E1,2.424051721E2,2.770000000E2,4.693999863E1,1.870000076E1,1.845959263E0,6.000000000E0,9.000000000E0,2.400000000E1
4.115391392E1,5.120730091E1,2.086494165E1,2.424074132E2,2.770000000E2,4.689999771E1,1.820000076E1,1.892570359E0,6.000000000E0,9.000000000E0,2.300000000E1
4.215391230E1,5.120770019E1,2.086514541E1,2.424096971E2,2.770000000E2,4.684000015E1,1.739999962E1,1.939547786E0,7.000000000E0,1.000000000E1,2.300000000E1
4.315391061E1,5.120810432E1,2.086534197E1,2.414119920E2,2.760000000E2,4.682999802E1,1.679999924E1,1.986858181E0,7.000000000E0,1.000000000E1,2.300000000E1
4.415390890E1,5.120851113E1,2.086554087E1,2.414143039E2,2.760000000E2,4.684999847E1,1.639999962E1,2.033038618E0,6.500000000E0,9.000000000E0,2.300000000E1
4.515390730E1,5.120890894E1,2.086573130E1,2.404165576E2,2.750000000E2,4.686999893E1,1.639999962E1,2.080341407E0,7.000000000E0,9.000000000E0,2.200000000E1
4.615390560E1,5.120931768E1,2.086591948E1,2.414188601E2,2.760000000E2,4.687999725E1,1.569999981E1,2.128692627E0,7.000000000E0,9.000000000E0,2.100000000E1
4.715390390E1,5.120973690E1,2.086610380E1,2.424212067E2,2.770000000E2,4.688999939E1,1.519999981E1,2.176805763E0,7.500000000E0,9.000000000E0,2.100000000E1
4.815390224E1,5.121015235E1,2.086629683E1,2.434235501E2,2.780000000E2,4.690999985E1,1.550000000E1,2.225804867E0,7.500000000E0,9.000000000E0,2.100000000E1
4.915390062E1,5.121057472E1,2.086649741E1,2.444259400E2,2.790000000E2,4.702999878E1,1.600000000E1,2.274894860E0,7.500000000E0,9.000000000E0,2.200000000E1
5.015389896E1,5.121099779E1,2.086669874E1,2.464283346E2,2.810000000E2,4.718000031E1,1.580000019E1,2.323084920E0,7.500000000E0,1.000000000E1,2.100000000E1
5.115389735E1,5.121141370E1,2.086689320E1,2.474306827E2,2.820000000E2,4.731999969E1,1.580000019E1,2.372756773E0,7.500000000E0,1.000000000E1,2.100000000E1
5.215389560E1,5.121184332E1,2.086708859E1,2.454330986E2,2.800000000E2,4.750000000E1,1.580000019E1,2.420887881E0,7.500000000E0,1.000000000E1,2.200000000E1
5.315389399E1,5.121226044E1,2.086727316E1,2.444354354E2,2.790000000E2,4.763999939E1,1.600000000E1,2.469119692E0,7.500000000E0,1.000000000E1,2.200000000E1
5.415389232E1,5.121267841E1,2.086745831E1,2.424377772E2,2.770000000E2,4.780999756E1,1.600000000E1,2.518091047E0,7.000000000E0,1.000000000E1,2.200000000E1
5.515389069E1,5.121310086E1,2.086765705E1,2.424401642E2,2.770000000E2,4.796999741E1,1.600000000E1,2.567114535E0,7.000000000E0,1.000000000E1,2.200000000E1
5.615388892E1,5.121352481E1,2.086785017E1,2.414425488E2,2.760000000E2,4.816999817E1,1.550000000E1,2.615047913E0,7.000000000E0,1.000000000E1,2.200000000E1
5.715388731E1,5.121394114E1,2.086802862E1,2.394448711E2,2.740000000E2,4.832999802E1,1.610000038E1,2.663867751E0,7.000000000E0,1.000000000E1,2.200000000E1
5.815388563E1,5.121436472E1,2.086821302E1,2.374472387E2,2.720000000E2,4.848999786E1,1.539999962E1,2.713339907E0,6.500000000E0,1.000000000E1,2.200000000E1
5.915388393E1,5.121479333E1,2.086840354E1,2.364496412E2,2.710000000E2,4.866999817E1,1.530000019E1,2.763580921E0,6.500000000E0,1.000000000E1,2.300000000E1
6.015388230E1,5.121522651E1,2.086860864E1,2.344520911E2,2.690000000E2,4.884000015E1,1.610000038E1,2.813219654E0,6.500000000E0,1.000000000E1,2.300000000E1
6.115388067E1,5.121565692E1,2.086879774E1,2.334544998E2,2.680000000E2,4.900000000E1,1.580000019E1,2.864481684E0,6.500000000E0,1.000000000E1,2.300000000E1
6.215387889E1,5.121609919E1,2.086900544E1,2.344569982E2,2.690000000E2,4.925000000E1,1.629999924E1,2.915258170E0,6.500000000E0,1.000000000E1,2.200000000E1
6.315387731E1,5.121653676E1,2.086921390E1,2.344594751E2,2.690000000E2,4.948999786E1,1.610000038E1,2.967869179E0,6.000000000E0,9.000000000E0,2.100000000E1
6.415387564E1,5.121698960E1,2.086943284E1,2.354620440E2,2.700000000E2,4.987999725E1,1.610000038E1,3.019057001E0,7.000000000E0,1.000000000E1,2.100000000E1
6.515387394E1,5.121743212E1,2.086963534E1,2.344645345E2,2.690000000E2,4.996999741E1,1.610000038E1,3.069594675E0,6.000000000E0,9.000000000E0,2.100000000E1
6.615387226E1,5.121786970E1,2.086983148E1,2.364669901E2,2.710000000E2,5.009999847E1,1.589999962E1,3.121198912E0,7.000000000E0,1.000000000E1,2.100000000E1
6.715387063E1,5.121831478E1,2.087004136E1,2.374695057E2,2.720000000E2,5.025000000E1,1.560000038E1,3.171621561E0,7.000000000E0,1.000000000E1,2.200000000E1
6.815386894E1,5.121875231E1,2.087023155E1,2.374719507E2,2.720000000E2,5.036999893E1,1.569999981E1,3.222351250E0,7.500000000E0,1.000000000E1,2.100000000E1
