"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.531537281E2,5.124481584E1,2.088592440E1,2.236251419E2,2.580000000E2,4.104999924E1,5.779999924E1,6.483300265E0,9.500000000E0,1.000000000E1,2.200000000E1
1.541537265E2,5.124501487E1,2.088643435E1,2.226269881E2,2.570000000E2,4.084999847E1,5.779999924E1,6.523158863E0,9.000000000E0,9.000000000E0,2.200000000E1
1.551537248E2,5.124519956E1,2.088692511E1,2.226287318E2,2.570000000E2,4.084999847E1,5.820000076E1,6.562019107E0,9.000000000E0,1.000000000E1,2.100000000E1
1.561537233E2,5.124538036E1,2.088740288E1,2.236304340E2,2.580000000E2,4.080999756E1,5.850000000E1,6.597245736E0,9.500000000E0,1.000000000E1,2.000000000E1
1.571537216E2,5.124553756E1,2.088784226E1,2.236319557E2,2.580000000E2,4.006999969E1,5.859999847E1,6.632606068E0,1.000000000E1,1.000000000E1,2.000000000E1
1.581537200E2,5.124570864E1,2.088827049E1,2.236335250E2,2.580000000E2,3.837999725E1,5.820000076E1,6.667777841E0,1.000000000E1,1.000000000E1,1.900000000E1
1.591537183E2,5.124587280E1,2.088870241E1,2.216350673E2,2.560000000E2,3.804999924E1,5.790000153E1,6.705800194E0,1.000000000E1,1.000000000E1,2.000000000E1
1.601537167E2,5.124605573E1,2.088916392E1,2.206367516E2,2.550000000E2,4.015999985E1,5.809999847E1,6.745478338E0,9.500000000E0,1.000000000E1,2.100000000E1
1.611537150E2,5.124625078E1,2.088964127E1,2.196385219E2,2.540000000E2,4.027999878E1,5.740000153E1,6.788189042E0,9.000000000E0,1.000000000E1,2.100000000E1
1.621537134E2,5.124646188E1,2.089015391E1,2.176404310E2,2.520000000E2,4.030999756E1,5.700000000E1,6.832011644E0,9.000000000E0,9.000000000E0,2.100000000E1
1.631537118E2,5.124667231E1,2.089068624E1,2.166423710E2,2.510000000E2,4.043999863E1,5.690000153E1,6.874182584E0,8.500000000E0,9.000000000E0,2.100000000E1
1.641537101E2,5.124687192E1,2.089120139E1,2.166442289E2,2.510000000E2,4.145000076E1,5.709999847E1,6.917917547E0,9.000000000E0,9.000000000E0,2.000000000E1
1.651537085E2,5.124707464E1,2.089173985E1,2.156461421E2,2.500000000E2,4.359999847E1,5.809999847E1,6.962275500E0,9.000000000E0,9.000000000E0,2.200000000E1
1.661537068E2,5.124728305E1,2.089228325E1,2.156480915E2,2.500000000E2,4.448999786E1,5.920000076E1,7.006730889E0,9.000000000E0,9.000000000E0,2.000000000E1
1.671537052E2,5.124748866E1,2.089283100E1,2.176500349E2,2.520000000E2,4.496999741E1,5.909999847E1,7.051544519E0,9.500000000E0,9.000000000E0,2.000000000E1
1.681537036E2,5.124769850E1,2.089338069E1,2.176520020E2,2.520000000E2,4.473999786E1,5.929999924E1,7.095748038E0,9.500000000E0,9.000000000E0,2.000000000E1
1.691537019E2,5.124791203E1,2.089391638E1,2.166539627E2,2.510000000E2,4.468999863E1,5.890000153E1,7.142915301E0,1.000000000E1,9.000000000E0,1.900000000E1
1.701537003E2,5.124813893E1,2.089448894E1,2.166560519E2,2.510000000E2,4.570000076E1,5.779999924E1,7.189649595E0,9.500000000E0,9.000000000E0,2.000000000E1
1.711536987E2,5.124837098E1,2.089504877E1,2.146581439E2,2.490000000E2,4.581999969E1,5.759999847E1,7.236255056E0,9.000000000E0,9.000000000E0,2.100000000E1
1.721536970E2,5.124860308E1,2.089560634E1,2.146602321E2,2.490000000E2,4.597999954E1,5.690000153E1,7.284126391E0,9.500000000E0,9.000000000E0,2.100000000E1
1.731536954E2,5.124883320E1,2.089618762E1,2.136623520E2,2.480000000E2,4.627000046E1,5.750000000E1,7.330723502E0,9.500000000E0,9.000000000E0,1.900000000E1
1.741536937E2,5.124904925E1,2.089676128E1,2.116643905E2,2.460000000E2,4.602999878E1,5.770000076E1,7.375329362E0,9.500000000E0,9.000000000E0,2.000000000E1
1.751536921E2,5.124925921E1,2.089730736E1,2.126663519E2,2.470000000E2,4.548999786E1,5.779999924E1,7.417901388E0,9.500000000E0,9.000000000E0,1.900000000E1
1.761536905E2,5.124946356E1,2.089782461E1,2.126682361E2,2.470000000E2,4.329999924E1,5.800000000E1,7.463265730E0,9.500000000E0,9.000000000E0,2.000000000E1
1.771536889E2,5.124968262E1,2.089837446E1,2.126702480E2,2.470000000E2,4.322999954E1,5.740000153E1,7.506143666E0,9.500000000E0,9.000000000E0,2.000000000E1
1.781536872E2,5.124989322E1,2.089889053E1,2.116721603E2,2.460000000E2,4.286000061E1,5.750000000E1,7.547326828E0,9.500000000E0,9.000000000E0,2.000000000E1
1.791536857E2,5.125009401E1,2.089938775E1,2.116739925E2,2.460000000E2,4.286000061E1,5.759999847E1,7.588351058E0,9.500000000E0,9.000000000E0,2.000000000E1
1.801536840E2,5.125029371E1,2.089988337E1,2.116758167E2,2.460000000E2,4.281999969E1,5.750000000E1,7.628667635E0,9.500000000E0,9.000000000E0,2.000000000E1
1.811536824E2,5.125048465E1,2.090037581E1,2.126775931E2,2.470000000E2,4.275000000E1,5.700000000E1,7.671368889E0,9.500000000E0,9.000000000E0,2.000000000E1
1.821536807E2,5.125070073E1,2.090088299E1,2.116795164E2,2.460000000E2,4.214999771E1,5.609999847E1,7.710896702E0,9.500000000E0,9.000000000E0,2.000000000E1
1.831536791E2,5.125089892E1,2.090135448E1,2.116812914E2,2.460000000E2,3.955999756E1,5.620000076E1,7.748630244E0,1.000000000E1,9.000000000E0,1.900000000E1
1.841536775E2,5.125109435E1,2.090179771E1,2.106830041E2,2.450000000E2,3.905999756E1,5.650000000E1,7.784945314E0,1.000000000E1,9.000000000E0,1.900000000E1
1.851536759E2,5.125128281E1,2.090222385E1,2.086846535E2,2.430000000E2,3.781999969E1,5.759999847E1,7.822063476E0,1.000000000E1,9.000000000E0,1.900000000E1
1.861536742E2,5.125147002E1,2.090266541E1,2.086863235E2,2.430000000E2,3.759999847E1,5.740000153E1,7.858148710E0,1.050000000E1,1.000000000E1,1.900000000E1
1.871536727E2,5.125164139E1,2.090310571E1,2.086879148E2,2.430000000E2,3.629999924E1,5.779999924E1,7.893162886E0,1.050000000E1,9.000000000E0,1.900000000E1
1.881536710E2,5.125181925E1,2.090352086E1,2.076894939E2,2.420000000E2,3.557999802E1,5.709999847E1,7.930795438E0,1.050000000E1,1.000000000E1,1.900000000E1
1.891536694E2,5.125200609E1,2.090397173E1,2.086911782E2,2.430000000E2,3.509000015E1,5.750000000E1,7.964867035E0,1.000000000E1,9.000000000E0,1.900000000E1
1.901536678E2,5.125217276E1,2.090438252E1,2.076926957E2,2.420000000E2,3.463000107E1,5.750000000E1,7.998729033E0,1.000000000E1,9.000000000E0,1.900000000E1
1.911536662E2,5.125233420E1,2.090479508E1,2.086941908E2,2.430000000E2,3.454000092E1,5.679999924E1,8.032979976E0,9.500000000E0,9.000000000E0,2.000000000E1
1.921536645E2,5.125250125E1,2.090520856E1,2.086957147E2,2.430000000E2,3.471999741E1,5.590000153E1,8.066181862E0,9.500000000E0,9.000000000E0,2.000000000E1
1.931536629E2,5.125266780E1,2.090560452E1,2.086972058E2,2.430000000E2,3.434000015E1,5.579999924E1,8.101348130E0,9.500000000E0,9.000000000E0,1.900000000E1
1.941536613E2,5.125285107E1,2.090601632E1,2.086988051E2,2.430000000E2,3.429999924E1,5.509999847E1,8.132428527E0,9.000000000E0,9.000000000E0,1.900000000E1
1.951536596E2,5.125301908E1,2.090637323E1,2.077002356E2,2.420000000E2,3.336999893E1,5.459999847E1,8.164522057E0,9.000000000E0,8.000000000E0,2.000000000E1
1.961536580E2,5.125318064E1,2.090675536E1,2.077016786E2,2.420000000E2,3.290999985E1,5.520000076E1,8.196032858E0,9.000000000E0,8.000000000E0,1.900000000E1
1.971536564E2,5.125333780E1,2.090713212E1,2.077030910E2,2.420000000E2,3.222999954E1,5.550000000E1,8.228175683E0,9.500000000E0,8.000000000E0,1.700000000E1
1.981536547E2,5.125350192E1,2.090751233E1,2.067045430E2,2.410000000E2,3.200000000E1,5.529999924E1,8.261063898E0,1.000000000E1,8.000000000E0,1.800000000E1
1.991536531E2,5.125366994E1,2.090790125E1,2.057060289E2,2.400000000E2,3.232999802E1,5.500000000E1,8.294472233E0,1.050000000E1,8.000000000E0,1.900000000E1
2.001536515E2,5.125385744E1,2.090827634E1,2.047075849E2,2.390000000E2,3.309000015E1,5.350000000E1,8.329578395E0,1.000000000E1,8.000000000E0,1.900000000E1
2.011536498E2,5.125404712E1,2.090867959E1,2.037092003E2,2.380000000E2,3.372999954E1,5.350000000E1,8.364032300E0,1.050000000E1,8.000000000E0,1.900000000E1
2.021536482E2,5.125423492E1,2.090907337E1,2.027107902E2,2.370000000E2,3.361000061E1,5.350000000E1,8.396992977E0,1.050000000E1,8.000000000E0,1.900000000E1
2.031536465E2,5.125440017E1,2.090946657E1,2.027122701E2,2.370000000E2,3.291999817E1,5.390000153E1,8.428782554E0,1.050000000E1,8.000000000E0,1.900000000E1
2.041536448E2,5.125456835E1,2.090983596E1,2.017137229E2,2.360000000E2,3.193999863E1,5.379999924E1,8.460624974E0,1.050000000E1,8.000000000E0,1.800000000E1
2.051536432E2,5.125475032E1,2.091018925E1,2.027152144E2,2.370000000E2,3.170999908E1,5.259999847E1,8.493068925E0,1.100000000E1,8.000000000E0,1.600000000E1
2.061536415E2,5.125493577E1,2.091054917E1,2.027167342E2,2.370000000E2,3.218000031E1,5.190000153E1,8.526594726E0,1.150000000E1,9.000000000E0,1.600000000E1
2.071536399E2,5.125512994E1,2.091091773E1,2.017183111E2,2.360000000E2,3.281999969E1,5.159999847E1,8.559624934E0,1.200000000E1,9.000000000E0,1.500000000E1
2.081536382E2,5.125532352E1,2.091127773E1,2.017198702E2,2.360000000E2,3.300000000E1,5.159999847E1,8.592952800E0,1.200000000E1,9.000000000E0,1.600000000E1
2.091536366E2,5.125552154E1,2.091163723E1,2.007214500E2,2.350000000E2,3.316999817E1,5.140000153E1,8.625409692E0,1.200000000E1,9.000000000E0,1.600000000E1
2.101536349E2,5.125571349E1,2.091198860E1,2.007229863E2,2.350000000E2,3.320000076E1,5.170000076E1,8.658469268E0,1.100000000E1,9.000000000E0,1.600000000E1
2.111536332E2,5.125590011E1,2.091235841E1,1.997245288E2,2.340000000E2,3.343000031E1,5.179999924E1,8.691054178E0,1.050000000E1,9.000000000E0,1.600000000E1
2.121536316E2,5.125608397E1,2.091272302E1,1.997260490E2,2.340000000E2,3.355999756E1,5.170000076E1,8.723591290E0,1.050000000E1,9.000000000E0,1.600000000E1
2.131536299E2,5.125626753E1,2.091308713E1,1.987275669E2,2.330000000E2,3.416999817E1,5.190000153E1,8.756637752E0,1.050000000E1,9.000000000E0,1.700000000E1
2.141536282E2,5.125645449E1,2.091345627E1,1.977291098E2,2.320000000E2,3.495000076E1,5.209999847E1,NaN,1.000000000E1,9.000000000E0,1.800000000E1
